GemeentecodeGM,Gemeentenaam,train_share_in_nl,has_tram_metro,buildings_total,arable_land_km2,number_of_vans_data,number_of_trucks_data,number_of_busses_data,greenhouse_scaled,arable_land_scaled,wet_biomass_potential,dry_biomass_potential,oily_biomass_potential,number_of_cars_data,total_land_area_km2,coast_line_km,households_roof_pv_potential,buildings_roof_pv_potential
GM0417,Laren,0,0,878.5153077,0.461078391,396,12,0,0,2.07E-05,0.021415163,0.032030384,0.006801666,6932,12.41048609,0,0.530579,0.221939
GM0080,Leeuwarden,0.003867133,0,11032.82962,178.477084,6119,410,9,0.00015602,0.008001854,0.780985638,0.383663739,0.074795238,57846,237.554441,0,4.294553,3.775684
GM0546,Leiden,0.034706787,0,7081.349231,2.156846316,3195,129,0,0,9.67E-05,0.210520859,0.312411951,0.075883991,40657,21.85227684,0,2.484526,1.770472
GM0547,Leiderdorp,0,0,1624.442077,5.205578725,1100,26,0,0,0.000233387,0.057403092,0.070630826,0.016470421,13131,11.49636905,0,0.655973,0.413814
GM1916,Leidschendam-Voorburg,0.000536156,1,4318.451385,16.91989211,3136,90,1,0.001941743,0.000758588,0.176877754,0.19601137,0.045825427,36033,32.60986856,0,1.74354,1.136341
GM0995,Lelystad,0.00498617,0,4312.828385,113.2455522,3330,84,10,0,0.005077259,1.191203527,0.328689837,0.047324892,37988,228.9987121,0,2.410994,2.438657
GM1640,Leudal,0,0,5652.012692,112.9038772,2638,237,26,0.002784693,0.00506194,0.516290127,0.350586815,0.02167845,21858,162.5081077,0,2.058388,2.862651
GM0327,Leusden,0,0,1627.470923,27.99290696,1167,34,0,0,0.001255036,0.117093284,0.104097608,0.018245112,16235,58.50615185,0,0.984103,0.800151
GM1705,Lingewaard,0,0,3311.801615,45.44743961,2217,203,0,0.014314389,0.002037594,0.148302684,0.138203112,0.028236483,24972,61.9648132,0,1.733414,3.286842
GM0553,Lisse,0,0,1361.235692,8.196649558,1221,83,0,0.000598489,0.000367489,0.052211126,0.060258246,0.013852433,12078,15.69862869,0,0.609791,0.857683
GM0262,Lochem,0,0,4284.799692,159.1702793,1858,110,0,6.87E-05,0.007136251,0.407650228,0.200508868,0.020408036,20069,213.0462125,0,1.728694,2.112504
GM0809,Loon op Zand,0,0,1614.410846,22.22921169,1388,73,1,0.000586479,0.000996626,0.09435675,0.090596401,0.014172618,13392,49.91612835,0,0.848233,0.981618
GM0331,Lopik,0,0,813.0090769,69.37415223,1637,169,1,0,0.003110325,0.177147431,0.067554153,0.008793257,7931,75.5587972,0,0.529271,0.89976
GM0168,Losser,0,0,2137.191692,71.24391135,1134,48,7,0,0.003194154,0.199737622,0.103282124,0.013744287,12734,98.74286649,0,0.986487,0.990265
GM0263,Maasdriel,0,0,2270.855308,52.66735165,2622,239,81,0.00274185,0.002361292,0.166064974,0.076861762,0.015002549,15021,65.88439614,0,1.272448,2.008938
GM1641,Maasgouw,0,0,2482.672308,23.80548605,1472,110,5,6.88E-05,0.001067297,0.181618552,0.077318436,0.01440896,14577,45.69799374,0,1.250586,0.843778
GM1991,Maashorst,0,0,5562.429846,85.57052434,5610,502,9,0.000787625,0.003836475,0.21841862,0.168001126,0.02538519,35218,137.3253401,0,2.511179,3.596529
GM0556,Maassluis,0,0,1643.478385,1.62937987,1053,39,9,0.000331532,7.31E-05,0.056751107,0.083415055,0.019908619,15676,8.444811983,0,0.658731,0.507311
GM0935,Maastricht,0.003933262,0,8283.048923,19.18061894,3355,222,10,0,0.000859945,0.237456162,0.327027215,0.073858376,46846,55.78646413,0,3.711025,2.508613
GM0420,Medemblik,0,0,4891.411538,98.98624634,3894,503,5,0.016292333,0.004437956,0.286227615,0.13909779,0.027224283,24869,121.2286113,0,1.93792,4.646168
GM0938,Meerssen,0.000331831,0,1293.663154,16.04103785,1225,141,1,0,0.000719185,0.053624922,0.057888067,0.011496912,10761,26.72512493,0,0.899026,0.443731
GM1948,Meierijstad,0,0,6409.052308,131.8425012,7310,557,33,0.002106741,0.005911036,0.605743571,0.349995867,0.049100191,47192,183.9981184,0,3.338554,5.880453
GM0119,Meppel,0.002528723,0,2725.222615,39.56747421,1684,116,7,0,0.001773971,0.148439297,0.102560643,0.020392239,17758,55.5020372,0,1.234854,1.177297
GM0687,Middelburg,0.00172251,0,4885.263615,28.40053823,2085,156,4,0.000670571,0.001273312,1.377164675,0.14418573,0.02949353,23385,48.37741112,0,1.546057,1.36553
GM1842,Midden-Delfland,0,0,1484.013538,37.97040133,1383,137,2,0.017161709,0.001702368,0.132253529,0.059993136,0.011781251,9567,47.1872104,0,0.799926,2.644604
GM1731,Midden-Drenthe,0.000628419,0,4906.571923,250.5242718,3024,119,4,0,0.011232022,0.652634108,0.355931902,0.02015772,19624,340.6223794,0,1.818312,2.457181
GM1952,Midden-Groningen,0.001573621,0,6277.066462,221.2326106,3649,238,18,0.00477403,0.009918758,0.67549708,0.333369601,0.036999969,34106,277.9486926,0,3.439682,2.69755
GM1709,Moerdijk,0.000371824,0,2766.361231,116.2407236,2954,267,39,0.004363179,0.005211544,0.51641385,0.187392019,0.02245613,22291,159.1685433,0,1.430881,4.248548
GM1978,Molenlanden,6.34E-05,0,2142.861846,161.2909244,4031,358,12,0,0.007231328,0.51389615,0.168758711,0.026646491,24092,181.572319,0,1.481169,2.163738
GM1955,Montferland,0.000749193,0,2730.998,73.41435767,2283,220,10,0,0.003291464,0.226741259,0.150127947,0.021888059,20732,105.6981648,0,1.583457,1.953609
GM0335,Montfoort,0,0,792.0563077,32.88059607,1193,116,0,0,0.001474171,0.118778628,0.045522023,0.008503449,7153,37.5790127,0,0.45617,0.646437
GM0944,Mook en Middelaar,0.000494974,0,499.5143846,7.033130128,451,18,1,0,0.000315324,0.036985531,0.027256444,0.004742636,4799,17.38861303,0,0.36868,0.182323
GM1740,Neder-Betuwe,0,0,1654.738231,47.4597062,2574,225,11,0.000658461,0.002127812,0.116918232,0.165323904,0.014602165,13251,59.99001405,0,0.906289,1.375789
GM0946,Nederweert,0,0,1709.019462,73.14040039,1506,105,2,0.000204656,0.003279182,0.355909417,0.291239203,0.010329176,10579,99.89999682,0,0.969729,1.830856
GM0356,Nieuwegein,0,1,2770.941308,2.807475197,3041,134,13,0,0.000125871,0.126728074,0.174682789,0.038298331,32187,23.41527794,0,1.487158,1.723656
GM0569,Nieuwkoop,0,0,2324.43,60.65345294,2398,264,19,0.010286545,0.002719341,0.343263225,0.093258164,0.017393309,16113,78.46444018,0,1.05879,2.434787
GM0267,Nijkerk,0.001509473,0,2004.729923,48.71846844,3114,326,1,0,0.002184247,0.169107293,0.191287916,0.026090571,22898,69.32091521,0,1.362537,1.966435
GM0268,Nijmegen,0.019191529,0,10601.42185,8.600724708,4974,454,10,0.000227425,0.000385605,0.310087,0.4620867,0.107390377,71811,52.80570181,0,4.070612,3.51746
GM1930,Nissewaard,0,0,4345.590462,45.92986111,3151,106,7,0.000203399,0.002059222,0.29612688,0.249902774,0.051519506,42601,73.31000703,0,2.072472,1.442679
GM1970,Noardeast-Fryslân,0,0,7206.810154,305.2803671,3836,233,0,0.000143851,0.013686961,1.152551021,0.295119981,0.027450297,24938,379.2189843,119.6283262,2.614057,2.294715
GM1695,Noord-Beveland,0,0,1734.300231,69.65700669,731,15,1,0,0.003123007,1.404088196,0.064005909,0.004440069,4810,86.00267333,28.50564474,0.403076,0.63111
GM1699,Noordenveld,0,0,3479.484231,129.9974098,1831,82,4,0,0.005828313,0.468821864,0.163510014,0.019010641,17968,199.0124438,0,1.605078,1.386617
GM0171,Noordoostpolder,0,0,6149.447231,401.7449638,3814,144,18,0.026706922,0.018011861,2.122553205,0.306547142,0.02847161,25773,458.0887197,0,2.089859,7.316461
GM0575,Noordwijk,0,0,4327.161538,22.3221681,2401,242,84,0.001760914,0.001000794,0.050308516,0.070540169,0.01590235,22980,58.33758283,15.54445923,1.438295,1.80776
GM0820,"Nuenen, Gerwen en Nederwetten",0,0,1322.861,19.19498342,1139,46,0,0,0.000860589,0.034908809,0.054748603,0.014086952,13484,33.64602119,0,1.007045,0.785776
GM0302,Nunspeet,0.000909168,0,2697.731692,29.62590215,2224,126,13,0,0.00132825,0.1456215,0.140042773,0.016696434,14617,128.7321038,0,0.941428,1.191426
GM0579,Oegstgeest,0,0,1465.650077,1.103054395,497,78,0,0.000324246,4.95E-05,0.047290181,0.063053897,0.01484033,11040,7.294010878,0,0.666082,0.315278
GM0823,Oirschot,0,0,2627.131615,57.77246743,1557,121,7,0.001148642,0.002590175,0.241045416,0.150189256,0.011314643,11287,101.7926419,0,0.898426,1.674029
GM0824,Oisterwijk,0.000916296,0,2825.200462,48.82234847,2009,102,0,0.001102422,0.002188904,0.186224208,0.107234946,0.015881693,17927,80.10724269,0,1.355564,1.773226
GM1895,Oldambt,0.001508285,0,5098.447769,183.3189187,2214,151,6,0,0.008218933,0.565057867,0.284842762,0.023165763,21789,226.5722957,55.46577926,2.089006,1.899846
GM0269,Oldebroek,0.000367073,0,1642.023308,57.44015944,1884,208,5,0.000141286,0.002575276,0.148138604,0.097763082,0.014337268,12329,97.66128343,0,0.882315,1.156956
GM0173,Oldenzaal,0,0,2087.577462,6.961221337,1787,109,29,0,0.0003121,0.062176951,0.086661021,0.019344801,16772,21.55375649,0,1.105029,1.272675
GM1773,Olst-Wijhe,0.000827993,0,1730.031385,96.32535485,1071,40,10,0,0.004318657,0.275127501,0.096057699,0.010979268,10182,113.6624025,0,0.820689,1.010482
GM0175,Ommen,0.000680688,0,2931.369077,113.1930055,1393,75,2,0,0.005074903,0.386863542,0.165863958,0.010822517,10401,179.8468243,0,0.975178,1.367617
GM1586,Oost Gelre,0,0,3578.346,89.54935418,2473,339,5,0,0.004014862,0.33199944,0.175648117,0.018047047,16764,109.9341804,0,1.359823,2.386959
GM0826,Oosterhout,0,0,4117.346308,33.13384691,3425,299,15,0.001737667,0.001485525,0.202387449,0.174947453,0.033790215,31753,71.42940319,0,1.782094,3.145239
GM0085,Ooststellingwerf,0,0,3636.822231,162.7654766,2019,161,5,0,0.007297438,0.524225871,0.188756067,0.01549103,14961,223.2961083,0,1.468805,1.675151
GM0431,Oostzaan,0,0,259.805,5.123688002,509,78,0,0,0.000229716,0.078277409,0.025059125,0.005927991,5108,11.55801227,0,0.286634,0.210355
GM0432,Opmeer,0,0,1221.501923,36.38236379,1036,69,1,0.001178346,0.001631169,0.102021699,0.042337877,0.007156483,6930,41.47910916,0,0.529148,0.762637
GM0086,Opsterland,0,0,3952.549769,177.7120243,2323,111,2,0,0.007967553,0.446875832,0.161587388,0.01805859,17163,224.4012896,0,1.662219,1.560108
GM0828,Oss,0.003851294,0,5111.211462,116.1771591,6548,437,64,0.00034683,0.005208695,0.519908262,0.309455363,0.055562229,50225,162.0093655,0,3.416189,4.347029
GM1509,Oude IJsselstreek,0.000570606,0,3714.935,112.0588264,2473,141,0,6.89E-05,0.005024053,0.31358553,0.159965001,0.023982328,22394,136.0706565,0,1.901556,2.336874
GM0437,Ouder-Amstel,0.003745568,0,1012.391308,15.80328865,2242,85,31,0,0.000708526,0.06400262,0.040773792,0.008454844,7360,23.95061165,0,0.394497,0.614614
GM0589,Oudewater,0,0,733.0722308,35.78316148,993,173,0,0.000157604,0.001604305,0.113550838,0.043957704,0.006197749,5253,38.8964767,0,0.365452,0.505672
GM1734,Overbetuwe,0.0014477,0,3440.165538,85.05155026,3119,298,62,0.001579045,0.003813207,0.243704066,0.193881535,0.02888536,27552,109.0331513,0,1.83516,2.242514
GM0590,Papendrecht,0,0,1560.428231,1.345191936,1072,141,1,0,6.03E-05,0.057024475,0.085370599,0.019618204,15914,9.414458729,0,0.741623,0.607794
GM1894,Peel en Maas,0,0,4450.434308,112.2733171,3004,220,44,0.030004634,0.005033669,0.373021129,0.278695818,0.026314154,25383,159.3515073,0,2.159426,7.543378
GM0765,Pekela,0,0,656.9493077,40.34408343,721,45,0,0,0.001808789,0.094469573,0.05024792,0.007420773,7337,49.03840956,0,0.609645,0.614923
GM1926,Pijnacker-Nootdorp,0,1,3554.862385,21.41470642,2543,183,22,0.033833502,0.000960108,0.124054338,0.14187312,0.033009497,25964,36.87367457,0,1.560802,4.770791
GM0439,Purmerend,0.002019098,0,4640.506308,67.25047631,4516,199,357,0.001160463,0.003015112,0.147452558,0.208341368,0.048676112,45153,93.60746198,0,1.886391,1.081104
GM0273,Putten,0.000639506,0,2299.324462,46.91753233,2180,164,2,0,0.002103504,0.157945134,0.153954028,0.014701806,12904,85.21335019,0,0.919937,1.409268
GM0177,Raalte,0.003403441,0,3143.418385,139.5155114,2566,184,56,0.000221164,0.006255048,0.467947441,0.215731429,0.02279029,21267,170.9720558,0,1.619257,2.458425
GM0703,Reimerswaal,0.0006894,0,1221.057462,74.83857804,2120,98,0,0.008208944,0.003355318,0.395432246,0.110359211,0.01377831,11870,101.7600524,129.5233375,0.781791,2.150022
GM0274,Renkum,0.000434785,0,1797.297077,15.30376877,1156,49,0,0,0.00068613,0.080297641,0.098902071,0.019017932,16972,45.95756518,0,1.08338,0.629571
GM0339,Renswoude,0,0,412.1086923,14.97722675,721,50,0,0,0.00067149,0.054023223,0.072506991,0.003195173,3158,18.38867673,0,0.221731,0.429982
GM1667,Reusel-De Mierden,0,0,1169.367846,48.25266721,1237,62,1,0.00020293,0.002163363,0.358052818,0.103069909,0.007934771,7685,77.81114193,0,0.652007,1.282816
GM0275,Rheden,0.002228175,0,2691.111769,24.77288847,1711,56,4,0,0.001110669,0.158397334,0.151263357,0.026514042,22516,81.77475097,0,1.438937,1.001296
GM0340,Rhenen,0.00060862,0,1072.545385,21.7967043,1313,66,0,0.000138923,0.000977235,0.090283153,0.075890671,0.012153687,10670,42.02265778,0,0.665066,0.667982
GM0597,Ridderkerk,0,0,3119.360308,8.38273071,2443,131,16,0.005198524,0.000375832,0.086954239,0.128027392,0.028094313,23698,23.47563598,0,1.194729,1.84598
GM1742,Rijssen-Holten,0.005603898,0,3446.819462,53.43207435,2728,337,1,0,0.002395577,0.223602878,0.149360977,0.023269657,20346,94.12321203,0,1.322267,1.783237
GM0603,Rijswijk,0.002071763,1,2492.744308,0.814762927,2109,50,18,0.000531525,3.65E-05,0.095146898,0.14776885,0.032484562,30895,13.97640687,0,1.043677,1.055286
GM1669,Roerdalen,0,0,1647.944231,49.19136953,1126,56,4,0.000374302,0.002205449,0.158049274,0.098585043,0.012524908,12614,88.21409676,0,1.057659,0.846848
GM0957,Roermond,0.003550746,0,4009.125538,27.81822961,2686,157,4,0,0.001247204,0.210778091,0.171427169,0.035365625,30470,60.63563034,0,2.044572,2.40651
GM0736,De Ronde Venen,0.000633171,0,3117.760538,80.40599308,3107,312,7,0.002333795,0.003604928,0.397282392,0.137318306,0.026768611,24541,99.6780079,0,1.580926,1.856012
GM1674,Roosendaal,0.004497928,0,5506.846385,71.24413136,4124,291,13,0.00334215,0.003194164,0.332230341,0.241011952,0.046801781,40572,106.497158,0,2.63825,3.711812
GM0599,Rotterdam,0.061514185,1,36989.43615,23.19011559,23553,1226,397,0.009521256,0.001039707,1.615949957,1.683706381,0.391645942,244366,218.4238421,30.11246972,10.399875,14.498324
GM0277,Rozendaal,0,0,108.4426923,0.613284272,32,7,0,0,2.75E-05,0.01951638,0.022920241,0.001004909,1039,27.89586036,0,0.080467,0.025104
GM0840,Rucphen,0,0,2181.821,42.12084494,2131,157,15,0.001022002,0.001888449,0.15202212,0.079790496,0.013713908,13890,64.380361,0,1.074209,1.205914
GM0441,Schagen,0.001602132,0,6004.526462,132.0931622,3798,199,2,0.00155779,0.005922274,0.398657334,0.152239246,0.028283873,25888,167.9904613,15.27674684,2.15305,2.468053
GM0279,Scherpenzeel,0,0,584.8849231,9.258377746,761,52,1,0,0.000415091,0.036142904,0.068900424,0.005998468,5351,13.78564934,0,0.319982,0.455937
GM0606,Schiedam,0.007644775,1,4098.976231,2.759298091,3171,141,1,0,0.000123711,0.144260498,0.203323097,0.047389294,32009,17.80758608,0,1.420068,1.438879
GM0088,Schiermonnikoog,0,0,612.3691538,3.058254968,78,4,1,0,0.000137114,0.117069075,0.005906615,0.000568679,355,42.93302405,160.2301851,0.052936,0.098764
GM1676,Schouwen-Duiveland,0,0,5680.426615,154.0147753,2851,125,28,0.00477667,0.006905109,0.670233507,0.164802215,0.020522865,19718,228.5978619,187.1120053,1.614706,2.663586
GM0965,Simpelveld,0,0,894.7928462,11.97120315,418,22,12,0,0.000536718,0.041474817,0.033821999,0.006389131,6260,16.02994717,0,0.45927,0.218082
GM0845,Sint-Michielsgestel,0,0,2053.528846,43.86716811,2104,167,0,8.49E-05,0.001966744,0.156102604,0.095095365,0.017613854,16400,58.34985736,0,1.296729,1.035199
GM1883,Sittard-Geleen,0.003967316,0,6661.586615,30.38236983,5212,309,2,0,0.001362165,0.214720518,0.268137904,0.05629738,53330,78.61433196,0,3.623828,4.189781
GM0610,Sliedrecht,0.000561895,0,1473.852615,6.48346406,1460,86,1,0,0.00029068,0.048059759,0.06474627,0.015204868,12361,12.84662053,0,0.599876,0.63731
GM1714,Sluis,0,0,5229.463077,245.7199944,1865,114,7,6.78E-05,0.011016627,0.680747042,0.228281772,0.014208465,13867,278.6027514,23.93333179,1.400907,1.875875
GM0090,Smallingerland,0,0,4452.32,87.88921703,5539,232,20,0.000175099,0.003940431,0.367940871,0.192053738,0.03398585,34558,117.172544,0,2.153682,2.037271
GM0342,Soest,0.000993512,0,3457.827615,12.58385727,2176,169,1,0,0.000564186,0.102871531,0.132428821,0.028065758,25008,46.2497636,0,1.377756,1.27638
GM0847,Someren,0,0,1979.881308,54.22482324,2078,198,2,0.006691305,0.002431119,0.239660649,0.261759943,0.011739329,11140,80.09791128,0,0.949907,2.7373
GM0848,Son en Breugel,0,0,919.799,11.7890743,1006,335,0,0,0.000528552,0.055410538,0.079455236,0.010270242,10566,25.95139876,0,0.707594,1.10149
GM0037,Stadskanaal,0,0,2836.017615,93.09404529,2459,123,2,0,0.004173785,0.206689826,0.15903103,0.019313815,17836,117.6298904,0,1.574322,1.151227
GM0180,Staphorst,0,0,2641.352,111.4031918,2037,174,1,0,0.004994658,0.272611777,0.12466831,0.010330391,9565,133.9430356,0,0.951521,1.184899
GM0532,Stede Broec,0.000859671,0,1019.483769,7.166686821,986,63,1,0.001568064,0.000321312,0.066069109,0.059785565,0.013187759,10320,14.48271732,0,0.689767,0.840942
GM0851,Steenbergen,0,0,4132.708769,124.9352388,1654,100,2,0.012595159,0.005601355,0.541881523,0.128468934,0.015221879,13892,146.5039403,0,0.932366,3.171222
GM1708,Steenwijkerland,0.001243375,0,5399.025923,190.3926337,3369,150,10,0,0.008536076,1.279919375,0.211286042,0.026696311,24610,288.31324,0,2.366879,2.024583
GM0971,Stein,0,0,1435.161077,9.047656559,1217,104,9,0,0.000405643,0.065900396,0.07369621,0.015165376,15105,20.92345696,0,1.044801,0.57128
GM1904,Stichtse Vecht,0.003959396,0,2851.830769,70.38529291,2946,178,3,0.000996216,0.003155659,0.355340116,0.192265409,0.039088163,33292,96.03570262,0,1.945704,1.593516
GM1900,Súdwest-Fryslân,0.001910204,0,13873.48508,458.4283876,7138,396,7,0.000597877,0.020553209,1.771250971,0.447669617,0.054504462,46531,522.6970991,6.425804746,4.979037,0
GM0715,Terneuzen,0,0,4300.904077,196.9218875,3119,220,3,0.007610603,0.008828809,0.719336511,0.266244989,0.033166248,31377,250.1269694,56.78049861,2.056099,4.315397
GM0093,Terschelling,0,0,1586.020462,13.64487463,666,34,4,0,0.000611755,0.19397981,0.023914376,0.002970982,2547,87.20565342,586.2831704,0.234191,0.26651
GM0448,Texel,0,0,4025.591923,99.95498606,1660,77,12,0,0.004481389,1.445862789,0.070931543,0.008230654,7566,162.2583729,298.2190133,0.828571,0.980507
GM1525,Teylingen,0.002573865,0,1736.401692,17.37155829,1940,165,1,0.000540929,0.000778838,0.131915671,0.096413925,0.022516886,20106,28.31874434,0,1.103046,1.239984
GM0716,Tholen,0,0,1859.005077,119.7667144,2335,85,10,0.003700436,0.005369629,0.512079802,0.134154359,0.01566297,14329,146.7182717,91.67918279,0.967345,1.797322
GM0281,Tiel,0.001612427,0,2676.441308,17.5511916,2874,220,16,0,0.000786891,0.109258867,0.116928934,0.025504273,24699,32.79889906,0,1.184073,1.890521
GM0855,Tilburg,0.01581541,0,13481.96192,44.96132782,13072,777,41,0.000548279,0.002015799,0.4558517,0.590961376,0.131998495,122310,125.8860607,0,5.97128,7.320944
GM0183,Tubbergen,0,0,2586.306769,125.8280985,2733,137,23,0,0.005641385,0.358344147,0.162546857,0.012926507,13166,147.0020894,0,1.080392,1.966906
GM1700,Twenterand,0,0,2781.972154,79.2858782,2728,206,8,0,0.003554708,0.264905191,0.147452932,0.020530763,18736,106.1400513,0,1.450223,1.70952
GM1730,Tynaarlo,0,0,3491.660385,107.7862612,2140,80,0,0.000512151,0.004832496,0.295613491,0.136779111,0.020473653,24440,142.877384,0,1.637751,1.310932
GM0737,Tytsjerksteradiel,0,0,3527.874,120.165828,2344,166,3,0,0.005387523,0.461839715,0.146339835,0.019308347,17785,148.6322717,0,1.620512,1.292527
GM0450,Uitgeest,0.001776759,0,491.1966154,14.68951981,811,32,1,0,0.000658591,0.082642618,0.037893643,0.00821911,6732,19.15591875,0,0.399173,0.326415
GM0451,Uithoorn,0,0,1540.296923,10.1089216,1372,109,1,0.017978569,0.000453224,0.067268063,0.079401363,0.017876929,15911,18.12111399,0,0.792122,3.138607
GM0184,Urk,0,0,980.3796923,5.46873185,1427,59,2,0,0.000245185,0.075763154,0.102318055,0.012614827,7875,13.14218284,0,0.491772,0.526358
GM0344,Utrecht,0.10434013,1,22676.19938,24.16889698,16260,1250,72,0.000477678,0.00108359,0.631183803,0.901897626,0.214388268,135664,93.77064444,0,7.072794,6.188976
GM1581,Utrechtse Heuvelrug,0.004193816,0,5100.253308,48.40343373,2295,109,0,0.00011999,0.002170123,0.239002295,0.217775931,0.030083474,26201,132.0179792,0,1.848371,1.43393
GM0981,Vaals,0,0,1104.852385,14.649799,289,21,4,0,0.00065681,0.04009553,0.036263486,0.006131524,4943,23.88834352,0,0.381987,0.231249
GM0994,Valkenburg aan de Geul,0,0,2356.232385,24.21069838,814,49,39,0,0.001085464,0.071673739,0.058214597,0.01000656,9224,36.72723131,0,0.729577,0.468801
GM0858,Valkenswaard,0,0,2298.955769,24.68751097,1721,93,12,0,0.001106842,0.144835058,0.101727037,0.018779767,17582,54.90528561,0,1.199049,1.211064
GM0047,Veendam,0,0,2158.317308,57.00079377,1539,72,0,0,0.002555577,0.137042526,0.108689181,0.01670251,15515,75.93326468,0,1.189016,1.323289
GM0345,Veenendaal,0.002805117,0,3210.972692,3.793349057,3232,185,0,0,0.000170071,0.113617964,0.16595123,0.039849439,33139,19.42425531,0,1.590774,1.941281
GM0717,Veere,0,0,4536.579846,94.08758045,1862,79,0,0.000791072,0.004218329,2.639847245,0.135382284,0.013266135,12393,132.9876097,63.91813788,1.088757,1.386566
GM0861,Veldhoven,0,0,2866.961615,11.79949453,2256,157,9,0.00025477,0.000529019,0.100344707,0.126056907,0.027545076,24215,31.67884992,0,1.641216,1.436029
GM0453,Velsen,0.000973317,0,3437.606154,3.321704596,3298,142,7,0,0.000148926,0.162937677,0.188949526,0.041525705,33524,45.02829991,13.87899004,1.614426,2.375947
GM0983,Venlo,0.001775571,0,7865.731769,47.51127742,3916,395,48,0.019849041,0.002130124,0.279802748,0.3123604,0.061730207,51000,124.1600241,0,3.791846,8.795072
GM0984,Venray,0,0,4675.494846,108.8351337,2724,178,2,0.001635333,0.004879522,0.592959089,0.429712936,0.026323268,24336,163.1806808,0,2.130674,4.033741
GM1961,Vijfheerenlanden,0.000281937,0,3359.142538,117.5889248,4875,541,191,0,0.00527199,0.348657846,0.190557288,0.033848541,33235,146.2798998,0,1.766645,2.361685
GM0622,Vlaardingen,0,1,4147.105692,4.084819049,2878,119,7,0,0.000183139,0.136845174,0.189264854,0.04398998,32237,23.36311166,0,1.318474,1.169085
GM0096,Vlieland,0,0,460.2044615,0.125336478,140,11,0,0,5.62E-06,0.023221151,0.006847427,0.000691407,482,41.83963667,273.2618289,0.049091,0.074447
GM0718,Vlissingen,0.001092507,0,2453.727692,12.31586557,1617,75,2,0,0.00055217,1.308352311,0.12208288,0.026958171,21619,34.36979947,309.3819717,1.289061,1.75568
GM0986,Voerendaal,0,0,805.0113077,25.30949645,649,31,1,0,0.001134728,0.061085542,0.044668047,0.007565372,7447,31.51042374,0,0.59196,0.311042
GM1992,Voorne aan Zee,0,0,5604.614615,74.91465143,3281,132,2,0.01981623,0.003358729,0.261651654,0.142505264,0.019873988,40724,121.7693733,40.20492105,2.417383,3.986864
GM0626,Voorschoten,0.001124185,0,1215.409308,4.492328834,724,43,0,0.000125876,0.000201409,0.050511362,0.068853115,0.015480094,11695,11.1131495,0,0.679939,0.414922
GM0285,Voorst,0.000454188,0,2258.498538,99.2960494,1648,149,0,0.001197511,0.004451846,0.26126547,0.114665241,0.014834862,13585,122.9253778,0,1.091251,1.843838
GM0865,Vught,0.00065297,0,2862.870846,32.38253513,1370,102,3,0,0.001451841,0.07672848,0.0781498,0.016037229,16286,60.01894359,0,1.166975,0.93491
GM1949,Waadhoeke,0.000450228,0,6403.080769,253.5573004,3729,217,10,0.010442035,0.011368005,0.729659894,0.297721114,0.027971586,25114,285.4181513,26.4268259,2.544618,3.461404
GM0866,Waalre,0,0,792.6279231,8.510152711,548,21,1,0,0.000381545,0.051594358,0.053053438,0.010478636,9708,22.38466647,0,0.728948,0.339814
GM0867,Waalwijk,0,0,3317.827538,42.52218468,3049,244,0,0.001092928,0.001906442,0.164096693,0.135021927,0.029308831,27607,64.53843879,0,1.694501,2.884881
GM0627,Waddinxveen,0.001323363,0,1338.180615,17.27044998,1670,102,24,0.007696064,0.000774305,0.080349604,0.084193827,0.017203749,15867,27.7542629,0,0.793958,2.168525
GM0289,Wageningen,0,0,2507.595385,15.09617229,960,44,0,0.00025616,0.000676823,0.090706338,0.109662579,0.023557641,14110,30.41944643,0,0.927228,0.758997
GM0629,Wassenaar,0,0,1734.545385,12.00174682,856,71,0,0,0.000538087,0.084603859,0.082749088,0.01592483,13870,51.17579761,9.453494429,0.970838,0.553863
GM0852,Waterland,0,0,961.2336154,44.94015966,865,47,0,0,0.00201485,0.140706247,0.054282244,0.010519951,8289,51.99261168,0,0.552666,0.450482
GM0988,Weert,0.002668108,0,4519.911615,56.71411007,2492,201,75,0.000432596,0.002542724,0.25418874,0.289103276,0.030282147,26277,104.2457267,0,2.085705,2.784307
GM1960,West Betuwe,0.002538623,0,5975.395769,171.5102351,5165,546,14,0.006680027,0.007689501,0.436357906,0.199202195,0.030801613,29803,215.9265631,0,2.4343,3.880317
GM0668,West Maas en Waal,0,0,1957.899538,61.97443555,1769,115,4,0.000565603,0.002778566,0.194350145,0.086251893,0.011589869,11939,76.18674151,0,0.999818,1.278184
GM1969,Westerkwartier,0,0,7770.577538,322.4869567,5157,391,9,0.00017026,0.014458402,0.708802309,0.317604498,0.03734871,35948,362.633703,0,3.449119,3.233718
GM1701,Westerveld,0,0,3945.255538,155.8136325,1730,65,3,0,0.006985759,0.459354184,0.165106902,0.011755126,12001,278.6491709,0,1.254905,1.090739
GM0293,Westervoort,0,0,552.7516923,2.899918169,545,19,0,0,0.000130015,0.02856212,0.038970671,0.009079419,7632,7.013962651,0,0.462574,0.17958
GM1950,Westerwolde,0,0,3735.976923,236.1801543,2154,79,12,0,0.010588917,0.439986612,0.212092559,0.015309976,15515,275.7696749,0,1.67964,1.625845
GM1783,Westland,0,0,7600.976,48.19167996,9395,1031,39,0.243985506,0.002160629,0.223867763,0.278930071,0.065983147,58286,80.75637123,7.725799377,3.321218,33.151767
