B8130AB3F36EB92770CCF8C556228D0D
CET,CEST
,van,tot, SPT
27-02-2023 19:00,27-02-2023 18:00,27-02-2023 19:00,-0.996
27-02-2023 20:00,27-02-2023 19:00,27-02-2023 20:00,-1.257
27-02-2023 21:00,27-02-2023 20:00,27-02-2023 21:00,-1.426
27-02-2023 22:00,27-02-2023 21:00,27-02-2023 22:00,-1.490
27-02-2023 23:00,27-02-2023 22:00,27-02-2023 23:00,-1.666
28-02-2023 00:00,27-02-2023 23:00,28-02-2023 00:00,-1.724
28-02-2023 01:00,28-02-2023 00:00,28-02-2023 01:00,-1.928
28-02-2023 02:00,28-02-2023 01:00,28-02-2023 02:00,-2.031
28-02-2023 03:00,28-02-2023 02:00,28-02-2023 03:00,-2.160
28-02-2023 04:00,28-02-2023 03:00,28-02-2023 04:00,-2.185
28-02-2023 05:00,28-02-2023 04:00,28-02-2023 05:00,-2.304
28-02-2023 06:00,28-02-2023 05:00,28-02-2023 06:00,-2.352
28-02-2023 07:00,28-02-2023 06:00,28-02-2023 07:00,-2.377
28-02-2023 08:00,28-02-2023 07:00,28-02-2023 08:00,-2.359
28-02-2023 09:00,28-02-2023 08:00,28-02-2023 09:00,-1.579
28-02-2023 10:00,28-02-2023 09:00,28-02-2023 10:00,-0.576
28-02-2023 11:00,28-02-2023 10:00,28-02-2023 11:00,0.431
28-02-2023 12:00,28-02-2023 11:00,28-02-2023 12:00,1.256
28-02-2023 13:00,28-02-2023 12:00,28-02-2023 13:00,1.809
28-02-2023 14:00,28-02-2023 13:00,28-02-2023 14:00,1.955
28-02-2023 15:00,28-02-2023 14:00,28-02-2023 15:00,1.624
28-02-2023 16:00,28-02-2023 15:00,28-02-2023 16:00,1.188
28-02-2023 17:00,28-02-2023 16:00,28-02-2023 17:00,0.338
28-02-2023 18:00,28-02-2023 17:00,28-02-2023 18:00,-0.575
28-02-2023 19:00,28-02-2023 18:00,28-02-2023 19:00,-1.176
28-02-2023 20:00,28-02-2023 19:00,28-02-2023 20:00,-1.390
28-02-2023 21:00,28-02-2023 20:00,28-02-2023 21:00,-1.569
28-02-2023 22:00,28-02-2023 21:00,28-02-2023 22:00,-1.600
28-02-2023 23:00,28-02-2023 22:00,28-02-2023 23:00,-1.630
01-03-2023 00:00,28-02-2023 23:00,01-03-2023 00:00,-1.766
01-03-2023 01:00,01-03-2023 00:00,01-03-2023 01:00,-1.956
01-03-2023 02:00,01-03-2023 01:00,01-03-2023 02:00,-2.032
01-03-2023 03:00,01-03-2023 02:00,01-03-2023 03:00,-2.085
01-03-2023 04:00,01-03-2023 03:00,01-03-2023 04:00,-2.204
01-03-2023 05:00,01-03-2023 04:00,01-03-2023 05:00,-2.253
01-03-2023 06:00,01-03-2023 05:00,01-03-2023 06:00,-2.264
01-03-2023 07:00,01-03-2023 06:00,01-03-2023 07:00,-2.304
01-03-2023 08:00,01-03-2023 07:00,01-03-2023 08:00,-2.243
01-03-2023 09:00,01-03-2023 08:00,01-03-2023 09:00,-1.708
01-03-2023 10:00,01-03-2023 09:00,01-03-2023 10:00,-0.823
01-03-2023 11:00,01-03-2023 10:00,01-03-2023 11:00,0.160
01-03-2023 12:00,01-03-2023 11:00,01-03-2023 12:00,0.725
01-03-2023 13:00,01-03-2023 12:00,01-03-2023 13:00,1.268
01-03-2023 14:00,01-03-2023 13:00,01-03-2023 14:00,1.411
01-03-2023 15:00,01-03-2023 14:00,01-03-2023 15:00,1.181
01-03-2023 16:00,01-03-2023 15:00,01-03-2023 16:00,0.647
01-03-2023 17:00,01-03-2023 16:00,01-03-2023 17:00,0.029
01-03-2023 18:00,01-03-2023 17:00,01-03-2023 18:00,-0.747
01-03-2023 19:00,01-03-2023 18:00,01-03-2023 19:00,-1.208
01-03-2023 20:00,01-03-2023 19:00,01-03-2023 20:00,-1.439
01-03-2023 21:00,01-03-2023 20:00,01-03-2023 21:00,-1.550
01-03-2023 22:00,01-03-2023 21:00,01-03-2023 22:00,-1.644
01-03-2023 23:00,01-03-2023 22:00,01-03-2023 23:00,-1.770
02-03-2023 00:00,01-03-2023 23:00,02-03-2023 00:00,-1.926
02-03-2023 01:00,02-03-2023 00:00,02-03-2023 01:00,-2.100
02-03-2023 02:00,02-03-2023 01:00,02-03-2023 02:00,-2.207
02-03-2023 03:00,02-03-2023 02:00,02-03-2023 03:00,-2.213
02-03-2023 04:00,02-03-2023 03:00,02-03-2023 04:00,-2.356
02-03-2023 05:00,02-03-2023 04:00,02-03-2023 05:00,-2.354
02-03-2023 06:00,02-03-2023 05:00,02-03-2023 06:00,-2.481
02-03-2023 07:00,02-03-2023 06:00,02-03-2023 07:00,-2.603
02-03-2023 08:00,02-03-2023 07:00,02-03-2023 08:00,-2.479
02-03-2023 09:00,02-03-2023 08:00,02-03-2023 09:00,-1.782
02-03-2023 10:00,02-03-2023 09:00,02-03-2023 10:00,-0.771
02-03-2023 11:00,02-03-2023 10:00,02-03-2023 11:00,0.270
02-03-2023 12:00,02-03-2023 11:00,02-03-2023 12:00,0.959
02-03-2023 13:00,02-03-2023 12:00,02-03-2023 13:00,1.437
02-03-2023 14:00,02-03-2023 13:00,02-03-2023 14:00,1.622
02-03-2023 15:00,02-03-2023 14:00,02-03-2023 15:00,1.257
02-03-2023 16:00,02-03-2023 15:00,02-03-2023 16:00,0.661
02-03-2023 17:00,02-03-2023 16:00,02-03-2023 17:00,0.006
02-03-2023 18:00,02-03-2023 17:00,02-03-2023 18:00,-0.854
02-03-2023 19:00,02-03-2023 18:00,02-03-2023 19:00,-1.484
02-03-2023 20:00,02-03-2023 19:00,02-03-2023 20:00,-1.724
02-03-2023 21:00,02-03-2023 20:00,02-03-2023 21:00,-1.897
02-03-2023 22:00,02-03-2023 21:00,02-03-2023 22:00,-1.993
02-03-2023 23:00,02-03-2023 22:00,02-03-2023 23:00,-2.119
03-03-2023 00:00,02-03-2023 23:00,03-03-2023 00:00,-2.170
03-03-2023 01:00,03-03-2023 00:00,03-03-2023 01:00,-2.320
03-03-2023 02:00,03-03-2023 01:00,03-03-2023 02:00,-2.412
03-03-2023 03:00,03-03-2023 02:00,03-03-2023 03:00,-2.528
03-03-2023 04:00,03-03-2023 03:00,03-03-2023 04:00,-2.621
03-03-2023 05:00,03-03-2023 04:00,03-03-2023 05:00,-2.736
03-03-2023 06:00,03-03-2023 05:00,03-03-2023 06:00,-2.816
03-03-2023 07:00,03-03-2023 06:00,03-03-2023 07:00,-2.884
03-03-2023 08:00,03-03-2023 07:00,03-03-2023 08:00,-2.762
03-03-2023 09:00,03-03-2023 08:00,03-03-2023 09:00,-1.924
03-03-2023 10:00,03-03-2023 09:00,03-03-2023 10:00,-0.973
03-03-2023 11:00,03-03-2023 10:00,03-03-2023 11:00,-0.130
03-03-2023 12:00,03-03-2023 11:00,03-03-2023 12:00,0.605
03-03-2023 13:00,03-03-2023 12:00,03-03-2023 13:00,1.146
03-03-2023 14:00,03-03-2023 13:00,03-03-2023 14:00,1.428
03-03-2023 15:00,03-03-2023 14:00,03-03-2023 15:00,1.299
03-03-2023 16:00,03-03-2023 15:00,03-03-2023 16:00,0.885
03-03-2023 17:00,03-03-2023 16:00,03-03-2023 17:00,0.242
03-03-2023 18:00,03-03-2023 17:00,03-03-2023 18:00,-0.656
03-03-2023 19:00,03-03-2023 18:00,03-03-2023 19:00,-1.284
03-03-2023 20:00,03-03-2023 19:00,03-03-2023 20:00,-1.572
03-03-2023 21:00,03-03-2023 20:00,03-03-2023 21:00,-1.838
03-03-2023 22:00,03-03-2023 21:00,03-03-2023 22:00,-2.011
03-03-2023 23:00,03-03-2023 22:00,03-03-2023 23:00,-2.065
04-03-2023 00:00,03-03-2023 23:00,04-03-2023 00:00,-2.231
04-03-2023 01:00,04-03-2023 00:00,04-03-2023 01:00,-2.335
04-03-2023 02:00,04-03-2023 01:00,04-03-2023 02:00,-2.471
04-03-2023 03:00,04-03-2023 02:00,04-03-2023 03:00,-2.539
04-03-2023 04:00,04-03-2023 03:00,04-03-2023 04:00,-2.596
04-03-2023 05:00,04-03-2023 04:00,04-03-2023 05:00,-2.674
04-03-2023 06:00,04-03-2023 05:00,04-03-2023 06:00,-2.682
04-03-2023 07:00,04-03-2023 06:00,04-03-2023 07:00,-2.770
04-03-2023 08:00,04-03-2023 07:00,04-03-2023 08:00,-2.588
04-03-2023 09:00,04-03-2023 08:00,04-03-2023 09:00,-1.695
04-03-2023 10:00,04-03-2023 09:00,04-03-2023 10:00,-0.566
04-03-2023 11:00,04-03-2023 10:00,04-03-2023 11:00,0.436
04-03-2023 12:00,04-03-2023 11:00,04-03-2023 12:00,1.159
04-03-2023 13:00,04-03-2023 12:00,04-03-2023 13:00,1.724
04-03-2023 14:00,04-03-2023 13:00,04-03-2023 14:00,2.037
04-03-2023 15:00,04-03-2023 14:00,04-03-2023 15:00,1.779
04-03-2023 16:00,04-03-2023 15:00,04-03-2023 16:00,1.308
04-03-2023 17:00,04-03-2023 16:00,04-03-2023 17:00,0.565
04-03-2023 18:00,04-03-2023 17:00,04-03-2023 18:00,-0.349
04-03-2023 19:00,04-03-2023 18:00,04-03-2023 19:00,-0.896
04-03-2023 20:00,04-03-2023 19:00,04-03-2023 20:00,-1.132
04-03-2023 21:00,04-03-2023 20:00,04-03-2023 21:00,-1.252
04-03-2023 22:00,04-03-2023 21:00,04-03-2023 22:00,-1.495
04-03-2023 23:00,04-03-2023 22:00,04-03-2023 23:00,-1.508
05-03-2023 00:00,04-03-2023 23:00,05-03-2023 00:00,-1.628
05-03-2023 01:00,05-03-2023 00:00,05-03-2023 01:00,-1.550
05-03-2023 02:00,05-03-2023 01:00,05-03-2023 02:00,-1.651
05-03-2023 03:00,05-03-2023 02:00,05-03-2023 03:00,-1.795
05-03-2023 04:00,05-03-2023 03:00,05-03-2023 04:00,-1.855
05-03-2023 05:00,05-03-2023 04:00,05-03-2023 05:00,-1.999
05-03-2023 06:00,05-03-2023 05:00,05-03-2023 06:00,-2.064
05-03-2023 07:00,05-03-2023 06:00,05-03-2023 07:00,-2.115
05-03-2023 08:00,05-03-2023 07:00,05-03-2023 08:00,-2.008
05-03-2023 09:00,05-03-2023 08:00,05-03-2023 09:00,-0.993
05-03-2023 10:00,05-03-2023 09:00,05-03-2023 10:00,0.164
05-03-2023 11:00,05-03-2023 10:00,05-03-2023 11:00,1.194
05-03-2023 12:00,05-03-2023 11:00,05-03-2023 12:00,2.019
05-03-2023 13:00,05-03-2023 12:00,05-03-2023 13:00,2.516
05-03-2023 14:00,05-03-2023 13:00,05-03-2023 14:00,2.468
05-03-2023 15:00,05-03-2023 14:00,05-03-2023 15:00,2.127
05-03-2023 16:00,05-03-2023 15:00,05-03-2023 16:00,1.697
05-03-2023 17:00,05-03-2023 16:00,05-03-2023 17:00,0.982
05-03-2023 18:00,05-03-2023 17:00,05-03-2023 18:00,0.087
05-03-2023 19:00,05-03-2023 18:00,05-03-2023 19:00,-0.650
05-03-2023 20:00,05-03-2023 19:00,05-03-2023 20:00,-1.055
05-03-2023 21:00,05-03-2023 20:00,05-03-2023 21:00,-1.221
05-03-2023 22:00,05-03-2023 21:00,05-03-2023 22:00,-1.377
05-03-2023 23:00,05-03-2023 22:00,05-03-2023 23:00,-1.533
06-03-2023 00:00,05-03-2023 23:00,06-03-2023 00:00,-1.642
06-03-2023 01:00,06-03-2023 00:00,06-03-2023 01:00,-1.488
06-03-2023 02:00,06-03-2023 01:00,06-03-2023 02:00,-1.584
06-03-2023 03:00,06-03-2023 02:00,06-03-2023 03:00,-1.579
06-03-2023 04:00,06-03-2023 03:00,06-03-2023 04:00,-1.704
06-03-2023 05:00,06-03-2023 04:00,06-03-2023 05:00,-1.682
06-03-2023 06:00,06-03-2023 05:00,06-03-2023 06:00,-1.738
06-03-2023 07:00,06-03-2023 06:00,06-03-2023 07:00,-1.724
06-03-2023 08:00,06-03-2023 07:00,06-03-2023 08:00,-1.564
06-03-2023 09:00,06-03-2023 08:00,06-03-2023 09:00,-0.761
06-03-2023 10:00,06-03-2023 09:00,06-03-2023 10:00,0.241
06-03-2023 11:00,06-03-2023 10:00,06-03-2023 11:00,1.188
06-03-2023 12:00,06-03-2023 11:00,06-03-2023 12:00,1.950
06-03-2023 13:00,06-03-2023 12:00,06-03-2023 13:00,2.375
06-03-2023 14:00,06-03-2023 13:00,06-03-2023 14:00,2.452
06-03-2023 15:00,06-03-2023 14:00,06-03-2023 15:00,2.114
06-03-2023 16:00,06-03-2023 15:00,06-03-2023 16:00,1.718
06-03-2023 17:00,06-03-2023 16:00,06-03-2023 17:00,0.980
06-03-2023 18:00,06-03-2023 17:00,06-03-2023 18:00,0.290
06-03-2023 19:00,06-03-2023 18:00,06-03-2023 19:00,-0.401
06-03-2023 20:00,06-03-2023 19:00,06-03-2023 20:00,-0.769
06-03-2023 21:00,06-03-2023 20:00,06-03-2023 21:00,-0.944
06-03-2023 22:00,06-03-2023 21:00,06-03-2023 22:00,-1.035
06-03-2023 23:00,06-03-2023 22:00,06-03-2023 23:00,-1.189
07-03-2023 00:00,06-03-2023 23:00,07-03-2023 00:00,-1.276
07-03-2023 01:00,07-03-2023 00:00,07-03-2023 01:00,-1.305
07-03-2023 02:00,07-03-2023 01:00,07-03-2023 02:00,-1.424
07-03-2023 03:00,07-03-2023 02:00,07-03-2023 03:00,-1.471
07-03-2023 04:00,07-03-2023 03:00,07-03-2023 04:00,-1.559
07-03-2023 05:00,07-03-2023 04:00,07-03-2023 05:00,-1.616
07-03-2023 06:00,07-03-2023 05:00,07-03-2023 06:00,-1.643
07-03-2023 07:00,07-03-2023 06:00,07-03-2023 07:00,-1.688
07-03-2023 08:00,07-03-2023 07:00,07-03-2023 08:00,-1.496
07-03-2023 09:00,07-03-2023 08:00,07-03-2023 09:00,-0.616
07-03-2023 10:00,07-03-2023 09:00,07-03-2023 10:00,0.559
07-03-2023 11:00,07-03-2023 10:00,07-03-2023 11:00,1.707
07-03-2023 12:00,07-03-2023 11:00,07-03-2023 12:00,2.701
07-03-2023 13:00,07-03-2023 12:00,07-03-2023 13:00,3.122
07-03-2023 14:00,07-03-2023 13:00,07-03-2023 14:00,3.106
07-03-2023 15:00,07-03-2023 14:00,07-03-2023 15:00,2.826
07-03-2023 16:00,07-03-2023 15:00,07-03-2023 16:00,2.264
07-03-2023 17:00,07-03-2023 16:00,07-03-2023 17:00,1.492
07-03-2023 18:00,07-03-2023 17:00,07-03-2023 18:00,0.755
07-03-2023 19:00,07-03-2023 18:00,07-03-2023 19:00,0.081
07-03-2023 20:00,07-03-2023 19:00,07-03-2023 20:00,-0.199
07-03-2023 21:00,07-03-2023 20:00,07-03-2023 21:00,-0.402
07-03-2023 22:00,07-03-2023 21:00,07-03-2023 22:00,-0.582
07-03-2023 23:00,07-03-2023 22:00,07-03-2023 23:00,-0.728
08-03-2023 00:00,07-03-2023 23:00,08-03-2023 00:00,-0.856
08-03-2023 01:00,08-03-2023 00:00,08-03-2023 01:00,-0.872
08-03-2023 02:00,08-03-2023 01:00,08-03-2023 02:00,-0.931
08-03-2023 03:00,08-03-2023 02:00,08-03-2023 03:00,-1.061
08-03-2023 04:00,08-03-2023 03:00,08-03-2023 04:00,-1.161
08-03-2023 05:00,08-03-2023 04:00,08-03-2023 05:00,-1.212
08-03-2023 06:00,08-03-2023 05:00,08-03-2023 06:00,-1.241
08-03-2023 07:00,08-03-2023 06:00,08-03-2023 07:00,-1.280
08-03-2023 08:00,08-03-2023 07:00,08-03-2023 08:00,-1.077
08-03-2023 09:00,08-03-2023 08:00,08-03-2023 09:00,-0.139
08-03-2023 10:00,08-03-2023 09:00,08-03-2023 10:00,1.072
08-03-2023 11:00,08-03-2023 10:00,08-03-2023 11:00,2.061
08-03-2023 12:00,08-03-2023 11:00,08-03-2023 12:00,2.803
08-03-2023 13:00,08-03-2023 12:00,08-03-2023 13:00,3.323
08-03-2023 14:00,08-03-2023 13:00,08-03-2023 14:00,3.402
08-03-2023 15:00,08-03-2023 14:00,08-03-2023 15:00,3.108
08-03-2023 16:00,08-03-2023 15:00,08-03-2023 16:00,2.626
08-03-2023 17:00,08-03-2023 16:00,08-03-2023 17:00,1.863
08-03-2023 18:00,08-03-2023 17:00,08-03-2023 18:00,0.964
08-03-2023 19:00,08-03-2023 18:00,08-03-2023 19:00,0.219
08-03-2023 20:00,08-03-2023 19:00,08-03-2023 20:00,-0.114
08-03-2023 21:00,08-03-2023 20:00,08-03-2023 21:00,-0.353
08-03-2023 22:00,08-03-2023 21:00,08-03-2023 22:00,-0.626
08-03-2023 23:00,08-03-2023 22:00,08-03-2023 23:00,-0.688
09-03-2023 00:00,08-03-2023 23:00,09-03-2023 00:00,-0.805
09-03-2023 01:00,09-03-2023 00:00,09-03-2023 01:00,-0.703
09-03-2023 02:00,09-03-2023 01:00,09-03-2023 02:00,-0.792
09-03-2023 03:00,09-03-2023 02:00,09-03-2023 03:00,-0.872
09-03-2023 04:00,09-03-2023 03:00,09-03-2023 04:00,-0.934
09-03-2023 05:00,09-03-2023 04:00,09-03-2023 05:00,-0.936
09-03-2023 06:00,09-03-2023 05:00,09-03-2023 06:00,-1.012
09-03-2023 07:00,09-03-2023 06:00,09-03-2023 07:00,-1.087
09-03-2023 08:00,09-03-2023 07:00,09-03-2023 08:00,-0.846
09-03-2023 09:00,09-03-2023 08:00,09-03-2023 09:00,0.140
09-03-2023 10:00,09-03-2023 09:00,09-03-2023 10:00,1.170
09-03-2023 11:00,09-03-2023 10:00,09-03-2023 11:00,2.159
09-03-2023 12:00,09-03-2023 11:00,09-03-2023 12:00,2.981
09-03-2023 13:00,09-03-2023 12:00,09-03-2023 13:00,3.330
09-03-2023 14:00,09-03-2023 13:00,09-03-2023 14:00,3.371
09-03-2023 15:00,09-03-2023 14:00,09-03-2023 15:00,3.233
09-03-2023 16:00,09-03-2023 15:00,09-03-2023 16:00,2.829
09-03-2023 17:00,09-03-2023 16:00,09-03-2023 17:00,2.225
09-03-2023 18:00,09-03-2023 17:00,09-03-2023 18:00,1.306
09-03-2023 19:00,09-03-2023 18:00,09-03-2023 19:00,0.490
09-03-2023 20:00,09-03-2023 19:00,09-03-2023 20:00,0.091
09-03-2023 21:00,09-03-2023 20:00,09-03-2023 21:00,-0.130
09-03-2023 22:00,09-03-2023 21:00,09-03-2023 22:00,-0.310
09-03-2023 23:00,09-03-2023 22:00,09-03-2023 23:00,-0.453
10-03-2023 00:00,09-03-2023 23:00,10-03-2023 00:00,-0.608
10-03-2023 01:00,10-03-2023 00:00,10-03-2023 01:00,-0.698
10-03-2023 02:00,10-03-2023 01:00,10-03-2023 02:00,-0.784
10-03-2023 03:00,10-03-2023 02:00,10-03-2023 03:00,-0.903
10-03-2023 04:00,10-03-2023 03:00,10-03-2023 04:00,-0.995
10-03-2023 05:00,10-03-2023 04:00,10-03-2023 05:00,-1.009
10-03-2023 06:00,10-03-2023 05:00,10-03-2023 06:00,-1.068
10-03-2023 07:00,10-03-2023 06:00,10-03-2023 07:00,-1.205
10-03-2023 08:00,10-03-2023 07:00,10-03-2023 08:00,-0.846
10-03-2023 09:00,10-03-2023 08:00,10-03-2023 09:00,0.344
10-03-2023 10:00,10-03-2023 09:00,10-03-2023 10:00,1.467
10-03-2023 11:00,10-03-2023 10:00,10-03-2023 11:00,2.548
10-03-2023 12:00,10-03-2023 11:00,10-03-2023 12:00,3.329
10-03-2023 13:00,10-03-2023 12:00,10-03-2023 13:00,3.770
10-03-2023 14:00,10-03-2023 13:00,10-03-2023 14:00,3.679
10-03-2023 15:00,10-03-2023 14:00,10-03-2023 15:00,3.350
10-03-2023 16:00,10-03-2023 15:00,10-03-2023 16:00,2.706
10-03-2023 17:00,10-03-2023 16:00,10-03-2023 17:00,1.924
10-03-2023 18:00,10-03-2023 17:00,10-03-2023 18:00,1.027
10-03-2023 19:00,10-03-2023 18:00,10-03-2023 19:00,0.285
10-03-2023 20:00,10-03-2023 19:00,10-03-2023 20:00,-0.032
10-03-2023 21:00,10-03-2023 20:00,10-03-2023 21:00,-0.233
10-03-2023 22:00,10-03-2023 21:00,10-03-2023 22:00,-0.360
10-03-2023 23:00,10-03-2023 22:00,10-03-2023 23:00,-0.547
11-03-2023 00:00,10-03-2023 23:00,11-03-2023 00:00,-0.648
11-03-2023 01:00,11-03-2023 00:00,11-03-2023 01:00,-0.763
11-03-2023 02:00,11-03-2023 01:00,11-03-2023 02:00,-0.924
11-03-2023 03:00,11-03-2023 02:00,11-03-2023 03:00,-1.014
11-03-2023 04:00,11-03-2023 03:00,11-03-2023 04:00,-1.141
11-03-2023 05:00,11-03-2023 04:00,11-03-2023 05:00,-1.212
11-03-2023 06:00,11-03-2023 05:00,11-03-2023 06:00,-1.250
11-03-2023 07:00,11-03-2023 06:00,11-03-2023 07:00,-1.330
11-03-2023 08:00,11-03-2023 07:00,11-03-2023 08:00,-1.166
11-03-2023 09:00,11-03-2023 08:00,11-03-2023 09:00,-0.242
11-03-2023 10:00,11-03-2023 09:00,11-03-2023 10:00,0.770
11-03-2023 11:00,11-03-2023 10:00,11-03-2023 11:00,1.919
11-03-2023 12:00,11-03-2023 11:00,11-03-2023 12:00,2.909
11-03-2023 13:00,11-03-2023 12:00,11-03-2023 13:00,3.547
11-03-2023 14:00,11-03-2023 13:00,11-03-2023 14:00,3.794
11-03-2023 15:00,11-03-2023 14:00,11-03-2023 15:00,3.614
11-03-2023 16:00,11-03-2023 15:00,11-03-2023 16:00,3.025
11-03-2023 17:00,11-03-2023 16:00,11-03-2023 17:00,2.221
11-03-2023 18:00,11-03-2023 17:00,11-03-2023 18:00,1.313
11-03-2023 19:00,11-03-2023 18:00,11-03-2023 19:00,0.418
11-03-2023 20:00,11-03-2023 19:00,11-03-2023 20:00,0.015
11-03-2023 21:00,11-03-2023 20:00,11-03-2023 21:00,-0.257
11-03-2023 22:00,11-03-2023 21:00,11-03-2023 22:00,-0.472
11-03-2023 23:00,11-03-2023 22:00,11-03-2023 23:00,-0.637
12-03-2023 00:00,11-03-2023 23:00,12-03-2023 00:00,-0.814
12-03-2023 01:00,12-03-2023 00:00,12-03-2023 01:00,-0.949
12-03-2023 02:00,12-03-2023 01:00,12-03-2023 02:00,-1.091
12-03-2023 03:00,12-03-2023 02:00,12-03-2023 03:00,-1.218
12-03-2023 04:00,12-03-2023 03:00,12-03-2023 04:00,-1.346
12-03-2023 05:00,12-03-2023 04:00,12-03-2023 05:00,-1.446
12-03-2023 06:00,12-03-2023 05:00,12-03-2023 06:00,-1.463
12-03-2023 07:00,12-03-2023 06:00,12-03-2023 07:00,-1.501
12-03-2023 08:00,12-03-2023 07:00,12-03-2023 08:00,-1.126
12-03-2023 09:00,12-03-2023 08:00,12-03-2023 09:00,0.086
12-03-2023 10:00,12-03-2023 09:00,12-03-2023 10:00,1.478
12-03-2023 11:00,12-03-2023 10:00,12-03-2023 11:00,2.705
12-03-2023 12:00,12-03-2023 11:00,12-03-2023 12:00,3.730
12-03-2023 13:00,12-03-2023 12:00,12-03-2023 13:00,4.437
12-03-2023 14:00,12-03-2023 13:00,12-03-2023 14:00,4.456
12-03-2023 15:00,12-03-2023 14:00,12-03-2023 15:00,4.285
12-03-2023 16:00,12-03-2023 15:00,12-03-2023 16:00,3.622
12-03-2023 17:00,12-03-2023 16:00,12-03-2023 17:00,2.700
12-03-2023 18:00,12-03-2023 17:00,12-03-2023 18:00,1.616
12-03-2023 19:00,12-03-2023 18:00,12-03-2023 19:00,0.578
12-03-2023 20:00,12-03-2023 19:00,12-03-2023 20:00,0.186
12-03-2023 21:00,12-03-2023 20:00,12-03-2023 21:00,-0.159
12-03-2023 22:00,12-03-2023 21:00,12-03-2023 22:00,-0.387
12-03-2023 23:00,12-03-2023 22:00,12-03-2023 23:00,-0.560
13-03-2023 00:00,12-03-2023 23:00,13-03-2023 00:00,-0.696
13-03-2023 01:00,13-03-2023 00:00,13-03-2023 01:00,-0.746
13-03-2023 02:00,13-03-2023 01:00,13-03-2023 02:00,-0.851
13-03-2023 03:00,13-03-2023 02:00,13-03-2023 03:00,-1.037
13-03-2023 04:00,13-03-2023 03:00,13-03-2023 04:00,-1.185
13-03-2023 05:00,13-03-2023 04:00,13-03-2023 05:00,-1.282
13-03-2023 06:00,13-03-2023 05:00,13-03-2023 06:00,-1.366
13-03-2023 07:00,13-03-2023 06:00,13-03-2023 07:00,-1.290
13-03-2023 08:00,13-03-2023 07:00,13-03-2023 08:00,-0.879
13-03-2023 09:00,13-03-2023 08:00,13-03-2023 09:00,0.265
13-03-2023 10:00,13-03-2023 09:00,13-03-2023 10:00,1.456
13-03-2023 11:00,13-03-2023 10:00,13-03-2023 11:00,2.667
13-03-2023 12:00,13-03-2023 11:00,13-03-2023 12:00,3.469
13-03-2023 13:00,13-03-2023 12:00,13-03-2023 13:00,3.887
13-03-2023 14:00,13-03-2023 13:00,13-03-2023 14:00,3.954
13-03-2023 15:00,13-03-2023 14:00,13-03-2023 15:00,3.628
13-03-2023 16:00,13-03-2023 15:00,13-03-2023 16:00,3.193
13-03-2023 17:00,13-03-2023 16:00,13-03-2023 17:00,2.285
13-03-2023 18:00,13-03-2023 17:00,13-03-2023 18:00,1.290
13-03-2023 19:00,13-03-2023 18:00,13-03-2023 19:00,0.447
13-03-2023 20:00,13-03-2023 19:00,13-03-2023 20:00,0.017
13-03-2023 21:00,13-03-2023 20:00,13-03-2023 21:00,-0.155
13-03-2023 22:00,13-03-2023 21:00,13-03-2023 22:00,-0.405
13-03-2023 23:00,13-03-2023 22:00,13-03-2023 23:00,-0.543
14-03-2023 00:00,13-03-2023 23:00,14-03-2023 00:00,-0.664
14-03-2023 01:00,14-03-2023 00:00,14-03-2023 01:00,-0.817
14-03-2023 02:00,14-03-2023 01:00,14-03-2023 02:00,-0.900
14-03-2023 03:00,14-03-2023 02:00,14-03-2023 03:00,-1.020
14-03-2023 04:00,14-03-2023 03:00,14-03-2023 04:00,-1.086
14-03-2023 05:00,14-03-2023 04:00,14-03-2023 05:00,-1.131
14-03-2023 06:00,14-03-2023 05:00,14-03-2023 06:00,-1.209
14-03-2023 07:00,14-03-2023 06:00,14-03-2023 07:00,-1.244
14-03-2023 08:00,14-03-2023 07:00,14-03-2023 08:00,-0.788
14-03-2023 09:00,14-03-2023 08:00,14-03-2023 09:00,0.284
14-03-2023 10:00,14-03-2023 09:00,14-03-2023 10:00,1.583
14-03-2023 11:00,14-03-2023 10:00,14-03-2023 11:00,2.584
14-03-2023 12:00,14-03-2023 11:00,14-03-2023 12:00,3.506
14-03-2023 13:00,14-03-2023 12:00,14-03-2023 13:00,3.980
14-03-2023 14:00,14-03-2023 13:00,14-03-2023 14:00,4.069
14-03-2023 15:00,14-03-2023 14:00,14-03-2023 15:00,3.701
14-03-2023 16:00,14-03-2023 15:00,14-03-2023 16:00,3.168
14-03-2023 17:00,14-03-2023 16:00,14-03-2023 17:00,2.297
14-03-2023 18:00,14-03-2023 17:00,14-03-2023 18:00,1.364
14-03-2023 19:00,14-03-2023 18:00,14-03-2023 19:00,0.496
14-03-2023 20:00,14-03-2023 19:00,14-03-2023 20:00,0.190
14-03-2023 21:00,14-03-2023 20:00,14-03-2023 21:00,0.003
14-03-2023 22:00,14-03-2023 21:00,14-03-2023 22:00,-0.192
14-03-2023 23:00,14-03-2023 22:00,14-03-2023 23:00,-0.360
15-03-2023 00:00,14-03-2023 23:00,15-03-2023 00:00,-0.550
15-03-2023 01:00,15-03-2023 00:00,15-03-2023 01:00,-0.716
15-03-2023 02:00,15-03-2023 01:00,15-03-2023 02:00,-0.825
15-03-2023 03:00,15-03-2023 02:00,15-03-2023 03:00,-0.969
15-03-2023 04:00,15-03-2023 03:00,15-03-2023 04:00,-0.957
15-03-2023 05:00,15-03-2023 04:00,15-03-2023 05:00,-1.011
