,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
GM0262,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0263,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0267,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0268,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0269,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0273,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0274,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0275,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0277,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0279,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0281,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0285,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0289,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0293,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0294,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0296,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0297,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0299,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0301,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0302,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0303,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0307,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0308,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0310,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0312,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0313,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0317,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0321,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0327,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0331,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0335,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0339,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0340,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0342,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0344,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0345,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0351,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0352,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0353,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0355,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0356,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0358,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0361,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0362,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0363,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0373,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0375,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0376,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0377,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0383,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0384,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0385,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0388,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0392,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0394,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0396,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0397,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0399,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0400,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0402,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0405,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0406,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0415,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0417,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0420,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0431,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0432,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0437,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0439,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0441,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0448,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0450,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
GM0451,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2,alleen in bestand2
