Code,Gebieden,inwoners_2023,woningen_2023,el_woningen_tj_incl_zonachtermeter_2023,gaswoningen_2023,warmwontier2_2023,houtskool_2023,houtwontj_2023,zonpvtj_won_2023
GM0622,Vlaardingen,75079.0,36315.0,304.0,25.6,2000.0,1.0,11.0,62.0
GM0096,Vlieland,1291.0,640.0,6.0,0.5,1000.0,0.0,2.0,3.0
GM0718,Vlissingen,45150.0,23243.0,206.0,17.1,11000.0,1.0,23.0,91.0
GM0986,Voerendaal,12405.0,5846.0,71.0,5.8,0.0,0.0,25.0,34.0
GM1992,Voorne aan Zee,73945.0,33488.0,373.0,26.0,1000.0,1.0,77.0,151.0
GM0626,Voorschoten,25665.0,11572.0,114.0,9.7,3000.0,0.0,10.0,35.0
GM0285,Voorst,25215.0,10938.0,133.0,10.6,0.0,0.0,45.0,57.0
GM0865,Vught,32113.0,13952.0,162.0,13.3,0.0,0.0,38.0,56.0
GM1949,Waadhoeke,46718.0,21476.0,231.0,20.2,0.0,1.0,105.0,110.0
GM0866,Waalre,17980.0,8059.0,100.0,8.1,0.0,0.0,28.0,47.0
GM0867,Waalwijk,49952.0,22580.0,246.0,18.7,0.0,1.0,51.0,87.0
GM0627,Waddinxveen,32601.0,13408.0,149.0,9.1,5000.0,0.0,18.0,58.0
GM0289,Wageningen,40960.0,18560.0,165.0,12.4,19000.0,1.0,19.0,60.0
GM0629,Wassenaar,27093.0,12241.0,138.0,14.8,1000.0,0.0,24.0,30.0
GM0852,Waterland,17609.0,7495.0,79.0,7.0,0.0,0.0,23.0,27.0
GM0988,Weert,50872.0,23596.0,269.0,20.1,2000.0,1.0,61.0,125.0
GM1960,West Betuwe,52720.0,21447.0,278.0,19.7,0.0,1.0,94.0,134.0
GM0668,West Maas en Waal,20065.0,8507.0,116.0,8.1,0.0,0.0,42.0,62.0
GM1969,Westerkwartier,64946.0,27914.0,332.0,27.6,4000.0,1.0,144.0,174.0
GM1701,Westerveld,19860.0,8757.0,110.0,9.4,0.0,0.0,49.0,56.0
GM0293,Westervoort,15114.0,6766.0,69.0,3.3,76000.0,0.0,14.0,28.0
GM1950,Westerwolde,26537.0,11996.0,141.0,13.4,0.0,0.0,68.0,55.0
GM1783,Westland,114887.0,47043.0,521.0,36.7,8000.0,2.0,88.0,222.0
GM0098,Weststellingwerf,26467.0,11921.0,140.0,11.5,0.0,0.0,56.0,79.0
GM0189,Wierden,24862.0,10034.0,136.0,9.9,0.0,0.0,45.0,71.0
GM0296,Wijchen,41537.0,18317.0,213.0,15.1,1000.0,1.0,45.0,94.0
GM1696,Wijdemeren,24659.0,10851.0,123.0,10.6,2000.0,0.0,39.0,40.0
GM0352,Wijk bij Duurstede,23995.0,10353.0,118.0,8.6,0.0,0.0,21.0,53.0
GM0294,Winterswijk,29253.0,13375.0,151.0,12.3,0.0,0.0,34.0,65.0
GM0873,Woensdrecht,22191.0,10020.0,122.0,9.2,0.0,0.0,44.0,50.0
GM0632,Woerden,53244.0,22769.0,240.0,18.3,5000.0,1.0,44.0,97.0
GM0880,Wormerland,16612.0,7145.0,74.0,5.9,1000.0,0.0,14.0,31.0
GM0351,Woudenberg,14358.0,5601.0,67.0,4.7,2000.0,0.0,16.0,30.0
GM0479,Zaanstad,159618.0,70210.0,635.0,52.8,47000.0,2.0,76.0,178.0
GM0297,Zaltbommel,30349.0,12107.0,151.0,10.8,1000.0,0.0,41.0,71.0
GM0473,Zandvoort,17542.0,9825.0,88.0,8.4,12000.0,0.0,10.0,13.0
GM0050,Zeewolde,23692.0,9354.0,110.0,5.8,50000.0,0.0,25.0,54.0
GM0355,Zeist,66629.0,30111.0,306.0,27.2,1000.0,1.0,42.0,93.0
GM0299,Zevenaar,45042.0,20679.0,234.0,16.6,20000.0,1.0,57.0,99.0
GM0637,Zoetermeer,126998.0,56991.0,559.0,36.7,62000.0,2.0,27.0,181.0
GM0638,Zoeterwoude,9443.0,3944.0,44.0,2.9,0.0,0.0,9.0,18.0
GM1892,Zuidplas,46981.0,19033.0,222.0,14.5,1000.0,1.0,42.0,92.0
GM0879,Zundert,22518.0,9940.0,125.0,9.9,0.0,0.0,46.0,51.0
GM0301,Zutphen,48510.0,23381.0,213.0,17.9,0.0,1.0,35.0,74.0
GM1896,Zwartewaterland,23368.0,9196.0,105.0,8.4,0.0,0.0,34.0,41.0
GM0642,Zwijndrecht,45018.0,20828.0,197.0,15.8,1000.0,1.0,18.0,62.0
GM0193,Zwolle,132411.0,60475.0,566.0,43.0,28000.0,2.0,67.0,226.0
GM2000,Onbekend,,,1.0,,1000.0,,,4.0
