Code,Gebieden,inwoners_2019,woningen_2019,zonpvtj_won_2019,houtwontj_2019,houtskool_2019,warmwontier2_2019,gaswoningen_2019,el_woningen_tj_incl_zonachtermeter_2019
668,West Maas en Waal,19076.0,8100.0,21.0,34.0,0.0,1000.0,11.8,98.0
1969,Westerkwartier,63031.0,27045.0,58.0,97.0,1.0,10000.0,40.3,290.0
1701,Westerveld,19348.0,8515.0,27.0,42.0,0.0,0.0,13.3,98.0
293,Westervoort,14944.0,6690.0,8.0,17.0,0.0,120000.0,4.7,68.0
1950,Westerwolde,25199.0,11969.0,19.0,26.0,0.0,0.0,19.3,132.0
1783,Westland,108603.0,44441.0,61.0,110.0,2.0,7000.0,48.5,482.0
98,Weststellingwerf,25840.0,11620.0,21.0,48.0,0.0,0.0,16.5,120.0
614,Westvoorne,14626.0,6831.0,12.0,34.0,0.0,0.0,9.6,82.0
189,Wierden,24351.0,9727.0,21.0,49.0,0.0,0.0,13.4,119.0
296,Wijchen,40951.0,17885.0,29.0,48.0,1.0,4000.0,21.4,200.0
1696,Wijdemeren,24013.0,10707.0,12.0,34.0,0.0,6000.0,15.3,122.0
352,Wijk bij Duurstede,23762.0,9968.0,14.0,14.0,0.0,0.0,11.9,111.0
294,Winterswijk,28903.0,13087.0,25.0,34.0,0.0,1000.0,17.4,142.0
873,Woensdrecht,21866.0,9844.0,14.0,48.0,0.0,0.0,13.0,114.0
632,Woerden,52197.0,22002.0,28.0,46.0,1.0,9000.0,25.3,227.0
880,Wormerland,16329.0,6962.0,10.0,17.0,0.0,0.0,8.2,71.0
351,Woudenberg,13166.0,5102.0,9.0,16.0,0.0,1000.0,6.6,57.0
479,Zaanstad,155885.0,68402.0,44.0,110.0,2.0,48000.0,72.8,612.0
297,Zaltbommel,28451.0,11401.0,21.0,6.0,0.0,4000.0,15.0,131.0
473,Zandvoort,17011.0,9557.0,3.0,13.0,0.0,20000.0,11.4,92.0
50,Zeewolde,22309.0,8553.0,18.0,30.0,0.0,49000.0,7.7,96.0
355,Zeist,63934.0,28777.0,21.0,11.0,1.0,1000.0,36.9,289.0
299,Zevenaar,43488.0,19796.0,29.0,57.0,1.0,23000.0,23.3,212.0
637,Zoetermeer,124944.0,56199.0,49.0,50.0,2.0,69000.0,50.4,561.0
638,Zoeterwoude,8450.0,3493.0,6.0,10.0,0.0,0.0,4.0,38.0
1892,Zuidplas,42762.0,17563.0,21.0,39.0,1.0,7000.0,20.0,195.0
879,Zundert,21612.0,9455.0,15.0,49.0,0.0,0.0,14.0,117.0
301,Zutphen,47609.0,22095.0,22.0,45.0,1.0,0.0,24.5,197.0
1896,Zwartewaterland,22503.0,8903.0,12.0,36.0,0.0,0.0,11.6,95.0
642,Zwijndrecht,44639.0,20454.0,13.0,29.0,1.0,2000.0,21.5,194.0
193,Zwolle,127497.0,57730.0,88.0,33.0,2.0,55000.0,58.2,531.0
2000,Gemeente onbekend,,,4.0,,,-,,1.0
