,,Metervraag aardgas,Metervraag aardgas,Metervraag aardgas,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag elektriciteit,Metervraag warmtenet,Metervraag warmtenet,Metervraag waterstof,Metervraag waterstof,Metervraag biomassa,Metervraag biomassa,Metervraag olie,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal,Metervraag totaal
,,koken,warm tapwater,ruimteverwarming,koken,warm tapwater,ruimteverwarming,hulpvraag,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,warm tapwater,ruimteverwarming,ruimteverwarming,aardgas,elektriciteit,warmtenet,waterstof,biomassa,olie,totaal
geo_id,bag_vbo_id,,,,,,,,,,,,,,,,,,,,,
GM0277,'0277010000000092',6.129726851797874,2.627025793627661,15.826993712150207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2480341903740891,0.0,0.0,0.0,0.0,63.17262289703427,1.0475843
GM0277,'0277010000000093',0.0,0.0,0.0,6.459610414838594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.674080229861666,0.0,6.911320501385409,0.0,0.0,118.91360076620556,0.0,125.82492126759097,1.04758739
GM0277,'0277010000000096',5.966167952593979,2.5569291225402773,24.32706209223056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3511683533857307,0.0,0.0,0.0,0.0,91.2127449440846,1.04760337
GM0277,'0277010000000097',5.966167952593979,2.5569291225402773,23.863672246576883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3455458899251327,0.0,0.0,0.0,0.0,89.66248966177841,1.04760623
GM0277,'0277010000000098',5.966167952593979,2.5569291225402773,26.21018881990641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374016957681531,0.0,0.0,0.0,0.0,97.5477663599451,1.04760623
GM0277,'0277010000000099',5.966167952593979,2.5569291225402773,22.606917290680183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302972631269195,0.0,0.0,0.0,0.0,85.45805784865786,1.04760337
GM0277,'0277010000000100',5.966167952593979,2.5569291225402773,25.60232185313995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666415051514314,0.0,0.0,0.0,0.0,95.47908396554828,1.04760253
GM0277,'0277010000000101',5.966167952593979,2.5569291225402773,21.81742197466394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3207180532925891,0.0,0.0,0.0,0.0,82.81682758543606,1.04760337
GM0277,'0277010000000102',5.966167952593979,2.5569291225402773,21.515797152035077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170583387780255,0.0,0.0,0.0,0.0,81.84283551480381,1.04759955
GM0277,'0277010000000103',5.955669737454547,2.5524298874805207,17.895171216531562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2731280774272496,0.0,0.0,0.0,0.0,69.67341392797582,1.04760337
GM0277,'0277010000000104',5.955669737454547,2.5524298874805207,19.3889743620357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2912528889260331,0.0,0.0,0.0,0.0,74.67088255782173,1.04760337
GM0277,'0277010000000105',5.955669737454547,2.5524298874805207,22.68011751722076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311854258756118,0.0,0.0,0.0,0.0,85.71618889655386,1.04759955
GM0277,'0277010000000106',5.131228355702573,2.1990978667296748,14.210258197376204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284177994614979,0.0,0.0,0.0,0.0,55.967668283988544,1.04760337
GM0277,'0277010000000107',5.131228355702573,2.1990978667296748,14.607004892624945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2332316593638492,0.0,0.0,0.0,0.0,57.29497112805336,1.04760337
GM0277,'0277010000000108',5.966167952593979,2.5569291225402773,18.52810434048409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2808076659978736,0.0,0.0,0.0,0.0,71.8476088035204,1.04759526
