key,value,comment
present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,0,Based on EU dataset
present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,0,Based on EU dataset
present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,0,Based on EU dataset
present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,0,Based on EU dataset
present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,0.03,Based on EU dataset
present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,0.11,Based on EU dataset
present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,0.07,Based on EU dataset
present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,0.04,Based on EU dataset
present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,0.07,Based on EU dataset
residences_roof_surface_available_for_pv,29.39345455,"Based on Eu data, corrected for inhabitants"
typical_useful_demand_for_space_heating_apartments_1945_1964,108.79,Based on EU dataset
typical_useful_demand_for_space_heating_apartments_1965_1984,95.14,Based on EU dataset
typical_useful_demand_for_space_heating_apartments_1985_2004,66.6,Based on EU dataset
typical_useful_demand_for_space_heating_apartments_2005_present,46.28,Based on EU dataset
typical_useful_demand_for_space_heating_apartments_before_1945,118.75,Based on EU dataset
typical_useful_demand_for_space_heating_apartments_future,46.28,Based on EU dataset
typical_useful_demand_for_space_heating_detached_houses_1945_1964,189.77,Based on EU dataset
typical_useful_demand_for_space_heating_detached_houses_1965_1984,163.86,Based on EU dataset
typical_useful_demand_for_space_heating_detached_houses_1985_2004,107.85,Based on EU dataset
typical_useful_demand_for_space_heating_detached_houses_2005_present,72.67,Based on EU dataset
typical_useful_demand_for_space_heating_detached_houses_before_1945,209.7,Based on EU dataset
typical_useful_demand_for_space_heating_detached_houses_future,72.67,Based on EU dataset
typical_useful_demand_for_space_heating_semi_detached_houses_1945_1964,0,Based on EU dataset
typical_useful_demand_for_space_heating_semi_detached_houses_1965_1984,0,Based on EU dataset
typical_useful_demand_for_space_heating_semi_detached_houses_1985_2004,0,Based on EU dataset
typical_useful_demand_for_space_heating_semi_detached_houses_2005_present,0,Based on EU dataset
typical_useful_demand_for_space_heating_semi_detached_houses_before_1945,0,Based on EU dataset
typical_useful_demand_for_space_heating_semi_detached_houses_future,0,Based on EU dataset
typical_useful_demand_for_space_heating_terraced_houses_1945_1964,140.23,Based on EU dataset
typical_useful_demand_for_space_heating_terraced_houses_1965_1984,124.25,Based on EU dataset
typical_useful_demand_for_space_heating_terraced_houses_1985_2004,83.82,Based on EU dataset
typical_useful_demand_for_space_heating_terraced_houses_2005_present,60.23,Based on EU dataset
typical_useful_demand_for_space_heating_terraced_houses_before_1945,154.27,Based on EU dataset
typical_useful_demand_for_space_heating_terraced_houses_future,60.23,Based on EU dataset
